FREQUENCY_RATE,<class '__main__.MovingAverage'>_VALUE,<class '__main__.MovingAverage'>_SPEED,<class '__main__.MovingAverage'>_ACC,<class '__main__.MovingAverage'>_WEIGHT,<class '__main__.MovingAverage'>_PARAMETER,<class '__main__.MAMA'>_VALUE,<class '__main__.MAMA'>_SPEED,<class '__main__.MAMA'>_ACC,<class '__main__.MAMA'>_WEIGHT,<class '__main__.MAMA'>_PARAMETER,<class '__main__.FAMA'>_VALUE,<class '__main__.FAMA'>_SPEED,<class '__main__.FAMA'>_ACC,<class '__main__.FAMA'>_WEIGHT,<class '__main__.FAMA'>_PARAMETER,<class '__main__.TRIMA'>_VALUE,<class '__main__.TRIMA'>_SPEED,<class '__main__.TRIMA'>_ACC,<class '__main__.TRIMA'>_WEIGHT,<class '__main__.TRIMA'>_PARAMETER,<class '__main__.EMA'>_VALUE,<class '__main__.EMA'>_SPEED,<class '__main__.EMA'>_ACC,<class '__main__.EMA'>_WEIGHT,<class '__main__.EMA'>_PARAMETER,<class '__main__.ATR'>_VALUE,<class '__main__.ATR'>_SPEED,<class '__main__.ATR'>_ACC,<class '__main__.ATR'>_WEIGHT,<class '__main__.ATR'>_PARAMETER,<class '__main__.RSI'>_VALUE,<class '__main__.RSI'>_SPEED,<class '__main__.RSI'>_ACC,<class '__main__.RSI'>_WEIGHT,<class '__main__.RSI'>_PARAMETER,<class '__main__.MACD'>_VALUE,<class '__main__.MACD'>_SPEED,<class '__main__.MACD'>_ACC,<class '__main__.MACD'>_WEIGHT,<class '__main__.MACD'>_PARAMETER,<class '__main__.MINUS_DI'>_VALUE,<class '__main__.MINUS_DI'>_SPEED,<class '__main__.MINUS_DI'>_ACC,<class '__main__.MINUS_DI'>_WEIGHT,<class '__main__.MINUS_DI'>_PARAMETER,<class '__main__.PLUS_DI'>_VALUE,<class '__main__.PLUS_DI'>_SPEED,<class '__main__.PLUS_DI'>_ACC,<class '__main__.PLUS_DI'>_WEIGHT,<class '__main__.PLUS_DI'>_PARAMETER,<class '__main__.ADX'>_VALUE,<class '__main__.ADX'>_SPEED,<class '__main__.ADX'>_ACC,<class '__main__.ADX'>_WEIGHT,<class '__main__.ADX'>_PARAMETER,<class '__main__.VOLUME'>_VALUE,<class '__main__.VOLUME'>_SPEED,<class '__main__.VOLUME'>_ACC,<class '__main__.VOLUME'>_WEIGHT,<class '__main__.VOLUME'>_PARAMETER,<class '__main__.SAR'>_VALUE,<class '__main__.SAR'>_SPEED,<class '__main__.SAR'>_ACC,<class '__main__.SAR'>_WEIGHT,<class '__main__.SAR'>_PARAMETER,MT_HA_WEIGHT,MT_BOILINGER_WEIGHT,MT_EXPLORE_TARGET,MT_BOILINGER_PERIOD,MT_SAR_ACC,MT_EXPLORE_SAMPLES,MT_INDICATORS_DEPTH,MT_WINDOW,MT_CONFL_DEPTH,MT_CONFL_TRESH,MT_SET_IGNORE,MT_SLTP_REV,MT_SLTP_MODE,MT_SATE_MACHINE_CONF,MT_ADX_THRESH,MT_VOL_THRESH,MT_SNR_WEIGHT,MT_ATR_THRESH,MT_NUM_SNR,MT_VSNR_SENSE,MT_SNR_SENSE,MT_THRESH_LIM,CLOSED
-450.0,132.29888333333344,0.004049999999978127,-0.00011666666668475045,1.5,30,132.50917625642893,0.0013591443984637408,-0.028823743571052773,0.25,30,132.52011155830792,-0.000280392355875847,0.00391122052189985,1.5,30,129.7588925483101,0.002221806763287759,4.49758454124094e-05,0.25,30,129.84750114535808,0.00351251101494654,-0.0003955274752627247,0.5,30,0.06971809830526485,-0.0005715874293855533,-0.0001845171904420878,0.5,30,54.898860775289634,-0.2596769925102862,-0.2596769925103004,0.25,30,-0.0006228581563953932,0.004700216555656165,-0.002628244761924456,1,30,19.83079033294393,-0.7404038806727087,0.0904455583025161,1.5,30,23.492992864908917,-1.2418352647670012,0.16292758694044096,1,30,39.13062657213872,-2.327365870009565,0.3324808385727991,1,30,1145.0,-991.0,-1115.0,1,30,132.3645336,0.0052135999999904925,-0.00010640000002126726,0.25,30,1.75,1,14,20,0.5651910903408793,24,4,100,4,0.7,False,False,SNR,1,9,2239,1,141,2,125,175,0.49751211937066275,0.03700000000000614
55.00000000000001,132.39628333333337,-0.0022666666666850688,-0.00018888888891410716,1.5,30,132.0781214638759,-0.012121463875871541,-0.010898151888937946,0.5,30,132.13323877914246,-0.018372438422176174,-0.016798892529550358,0.25,30,129.60701574637588,-0.0036222125603728728,3.988647344499441e-05,0.5,30,129.48450079809217,-0.006296926114970347,-0.0011682183036896276,0.25,30,0.06195985949958588,-0.0021644366388661046,-0.001879753520064656,0.25,30,41.435668833449114,-0.07287556173001519,2.2649385449327326,0.5,30,-0.006239315528489709,0.0008864703329863437,0.0003780126615033734,0.5,30,22.146694501989003,-0.31954223488792977,-1.423029604674234,1.5,30,14.062967659165793,-0.29604014546234225,0.47563170741987726,0.25,30,23.986829641354685,-0.10977664303177548,0.07562726355281413,1,30,588.0,-724.0,-937.0,0.5,30,132.1420193366335,-0.01577992629262326,0.0017533251436248065,1.5,30,1.5,2,10,28,0.4735476259893245,14,3,120,3,0.7,False,False,SNR,1,11,1111,1,1826,1,100,175,0.2642747443666425,0.16399999999998727
-450.0,132.34951666666666,-0.0033166666666772926,-0.0001611111111117225,1.5,30,132.07432137573218,-0.0020169145122110876,-0.0015254255519607796,0.5,30,132.0964144817797,-0.0005664898986594835,-3.719037471228148e-05,0.25,30,129.5436067874391,-0.0033369710145052522,8.770289852577662e-05,0.25,30,129.43995029612628,-0.003206346960666906,-0.0005909108462560653,0.5,30,0.04353283639630024,-0.0004256027997167483,-0.00027495363079467483,1.5,30,39.39026132145717,-4.774432186663951,-5.184946405164517,0.25,30,-4.2754123637783054e-05,-0.0019152828385074101,-0.0019009843015751968,1,30,22.01531422727175,-1.4295206548646,-2.2340807668267963,0.5,30,15.873740788142396,-0.41632368370978057,0.0527368585032697,1,30,21.415291257825974,1.7028826907565175,-0.150553274254154,1.5,30,796.0,-320.0,-651.0,0.25,30,132.1504387057664,-0.004934946073603896,-0.0026007899136004653,0.5,30,1.75,1,4,28,0.22053707277410456,6,5,80,4,0.7,False,False,SNR,1,9,2309,1,2253,1,125,100,0.41329867098278616,0.18600000000000705
5.000000000000004,132.91126875000015,-0.0006062500000041382,0.00013749999999390639,0.5,30,132.84529658638152,0.00019491650624559043,0.00029658638152341155,0.5,30,132.82067737368072,0.0006312618641004519,-0.007720590822117401,1.5,30,130.18869269318265,-0.0040842613636300484,0.00016306818181988092,1,30,130.1682507099298,0.002502030533719335,-0.0018623190035214066,0.5,30,0.05105651291295097,-0.0024056512912935743,-0.0031594348708698303,0.25,30,56.56034653301947,0.6492543202899625,4.818383392471503,1.5,30,0.00026126137761419213,-0.0010110750902073452,0.0005716703466277194,0.25,30,16.969335971943007,0.1419459602985249,1.1749475572733061,1,30,20.721691495341386,-0.45455776291110084,-1.358673353093419,0.25,30,23.69812469151739,1.3563007049053653,-1.20187417077139,0.25,30,1080.0,-1013.0,-1312.0,1,30,132.78329618476033,0.007768328632323573,0.0025819893043319553,1,30,1.25,2.5,8,8,0.4361751025993819,18,3,80,4,0.8,False,False,SNR,1,5,947,1.5,2208,1,125,175,0.22288277858056538,0.09000000000000341
14.000000000000002,132.8592625000001,-0.0010062499999889951,0.00033125000001632543,0.5,30,132.87086803997212,0.0022174715803942036,0.00014644886417158887,0.5,30,132.8507034036283,0.000517041957522224,4.3600759568107605e-05,1.5,30,130.19420503409063,0.0012189545454361905,-3.57159090924597e-05,1,30,130.21069893299278,0.00435221757970794,-0.0005097071136503928,0.5,30,0.0360401805167927,-0.0011040180516787013,-0.0004895981948321512,0.25,30,60.32047607395258,0.8133972698115954,2.2044276944388628,1.5,30,0.006500379097803153,0.0005930356718439195,-0.0004267518125410201,0.25,30,14.259665420590567,-0.5344959108936642,0.14693678723491743,1,30,19.38624715621628,-0.5876842242130955,-0.08334708377325839,0.25,30,29.700275756155186,0.9126957931390045,-0.15211596552317275,0.25,30,1126.0,-273.0,-190.0,1,30,132.81142828799997,0.0073130879999894205,0.002317887999993218,1,30,1.25,2.5,8,8,0.4361751025993819,18,3,80,4,0.8,False,False,SNR,1,5,947,1.5,2208,1,125,175,0.22288277858056538,0.13899999999998158
30.000000000000004,132.8564875000001,-0.0007624999999791271,7.500000003801688e-05,0.5,30,132.8958617030374,0.0038493840506532706,0.0002710850499454409,0.5,30,132.86180618271916,0.0008732184697066714,7.631193798829372e-05,1.5,30,130.19760743181843,0.001095022727270134,-3.563636363423939e-05,1,30,130.22733957363107,0.007706886986198924,0.002850854001451353,0.5,30,0.03960043615085948,-0.0011600436150867935,-0.005883995638491547,0.25,30,67.81724477232856,1.133764651327894,-7.002381112812294,1.5,30,0.010486272648630033,0.0017299764118494845,-0.0010121003783710222,0.25,30,11.460890472238985,-0.4558062327680723,1.1448459263819064,1,30,21.276637324377294,0.353488142790102,-0.8274824106771455,0.25,30,39.490496072468396,3.9407358733306594,-0.002743699358866536,0.25,30,1497.0,408.0,534.0,1,30,132.84065854511616,0.013260161653761315,0.004164368911347083,1,30,1.25,2.5,8,8,0.4361751025993819,18,3,80,4,0.8,False,False,SNR,1,5,947,1.5,2208,1,125,175,0.22288277858056538,0.26400000000001
30.000000000000004,132.64435555555548,-0.004961111111100536,0.00044444444446867237,1,30,131.78324299527912,0.002671421301101873,-0.04875700472086919,0.5,30,131.77422401741464,0.0002312558426922351,-0.001961681625999745,0.5,30,129.85103631818095,-0.01696259090908825,-0.000249534090897896,0.25,30,129.20608662821155,-0.0006721812559646878,0.0025639435349091855,0.5,30,0.08007833434730752,-0.0010898611956107196,-0.007742511567034316,1,30,45.090392358774906,0.15581852818215935,-3.4841730738747216,0.5,30,0.018186403998810552,0.005903818547381173,-0.003277538938192548,1.5,30,26.843286310078618,-1.0506367522036442,1.7125887698942321,1.5,30,19.52274412053425,-0.40302480875990554,-2.435196991217733,0.25,30,42.98837868760871,-1.1932815370737941,0.00614357258810827,0.5,30,2571.0,-1568.0,-2412.0,1.5,30,131.59634559999998,0.01098559999999793,0.006625600000006671,1,30,1.5,1,6,20,0.17367354547083383,18,6,220,3,0.6,True,False,SNR,1,5,2558,2,422,1,100,100,0.28240331571569244,-0.5660000000000025
91.0,132.26511111111108,0.002866666666676565,-0.0009999999999763531,1,30,132.33086776573384,-0.0015193560912507564,0.012867765733858505,0.5,30,132.33328364879205,-6.194571943751725e-05,0.00025754517602649685,0.5,30,129.71498113636332,-0.0020233181818127832,9.306818182608367e-05,0.25,30,129.6837261722995,-0.002793807610458998,-0.0038838097252096304,0.5,30,0.04011185078387437,0.0020740124346769404,-0.0005895010362227046,1,30,46.36061669331909,-1.6393377929702737,4.370632284090327,0.5,30,-0.0017289531786812947,-0.0017338637804379321,-0.0005688027704715839,0.5,30,21.995706600570855,2.9047396763177957,2.2391252759864884,0.5,30,16.428705566553514,-1.2411299761288497,0.24298543173546605,1,30,9.652976826689153,0.22090302154716035,0.4722308656064609,0.5,30,2082.0,-618.0,-2077.0,1.5,30,132.378,-0.0014489509152326718,0.00019286440956989281,0.25,30,1.5,1,18,20,0.17367354547083383,18,6,220,2,0.6,True,False,SNR,1,5,2558,1.5,422,2,125,100,0.13713941237613836,0.001999999999981128
60.0,132.30086666666665,0.00315555555556557,-0.00013333333330933783,1,30,132.33194355769376,-0.010943557693792627,-0.009791604252342268,0.5,30,132.33894689652837,-0.002334446278211999,-0.002375619934127826,0.5,30,129.6998742613626,-0.0009982954545648681,4.024999998364365e-05,0.25,30,129.69299716560553,-0.0021191753268965385,0.0003778079291407721,0.5,30,0.04671897287693468,0.00010675226025559648,-0.00334222935502064,1,30,47.651322789311365,0.0,0.7355367849063796,0.5,30,-0.0029624713428627438,-0.0012484550299960194,0.0008299696088127024,0.5,30,23.400502314613686,-1.0301404730186796,-4.126163795096858,0.5,30,14.685509211055777,-0.7513263362775344,0.7628917764780994,1,30,9.974457659491115,0.5631266390847944,-0.025596665412944475,0.5,30,1801.0,-554.0,-854.0,1.5,30,132.39048,-0.0025200000000040745,-0.1015545155523796,0.25,30,1.5,1,18,20,0.17367354547083383,18,6,220,2,0.6,True,False,SNR,1,5,2558,1.5,422,2,125,100,0.13713941237613836,-0.016999999999995907
14.000000000000002,131.38724999999994,-0.001216666666692845,-5.000000001587068e-05,0.25,30,131.4993582668792,-0.059358266879229404,-0.05405739668140086,1,30,131.5872072716262,-0.029283001582314228,-0.02780162364769012,1,30,128.90707429951752,0.001867326086966159,-9.196376811360096e-05,1.5,30,128.89990655160312,-0.008899110695068657,-0.0023643041373588858,0.5,30,0.06957531727440243,-0.0004513324881260661,-0.00308150881641428,1.5,30,38.55464122810253,-1.6430714698420914,-2.9944167199630627,0.25,30,-0.01679018214379863,0.0004781458079511497,-0.0005274847267718631,1,30,23.563123363897294,1.2662046295938332,3.869178043489761,0.5,30,17.837848290589665,-0.6150120642398633,-2.178899170138635,0.25,30,23.137014165778528,-0.14886369444396408,0.3654846840473276,0.25,30,1314.0,953.0,1328.0,0.25,30,131.59149068803174,-0.014477451133188879,0.0012589087941989874,1.5,30,1.25,1.5,14,20,0.054587762405348815,22,4,280,5,0.6,True,False,SNR,1,11,1918,2.5,1037,1,100,175,0.2235412509167244,0.12300000000001887
14.000000000000002,131.5550375,0.001174999999989268,0.000293749999997317,0.25,30,131.53034912328732,0.0013857639835066493,-0.00030926073972636914,1,30,131.54640285889346,-0.0005467693784453331,0.00011935032679843971,1.5,30,128.94590084090925,0.0003505568181765284,-5.2977272730458935e-05,0.25,30,128.90882765480828,0.0007355100201777987,0.0010057357873449746,1,30,0.03279515463352004,-0.0016795154633528903,-0.0012320484536657156,1.5,30,51.00265346467459,-0.21067830871289317,-6.316645215596438,1.5,30,0.00424294949474468,0.0014603226787157659,-0.0009686048378064176,0.25,30,15.92773554894577,-0.33947970648478254,0.30063068167107865,0.5,30,14.88486247822795,-0.20312037471253852,-1.9270800799808434,1,30,18.809150331991138,-1.3794197738078005,0.10610921336983381,1.5,30,575.0,183.0,380.0,0.25,30,131.62227366713148,-0.0023321156557472023,4.7594197042144515e-05,0.5,30,1.5,2.5,4,8,0.5658896158666887,14,6,260,4,0.8,False,False,SNR,1,8,1964,1.5,1078,2,125,150,0.2924634177786472,0.008000000000009777
